channelGrouping,device.browser,device.operatingSystem,device.deviceCategory,geoNetwork.continent,geoNetwork.country,trafficSource.source,trafficSource.medium,weekday,visitHour,PredictedRevenue
5,6,6,0,2,155,0,0,0,20,568.0162608054458
5,6,6,0,2,155,0,0,4,19,393.820785502394
5,6,6,0,2,155,0,0,3,21,308.4397345275637
5,6,6,0,2,155,0,0,0,0,277.8299404630954
5,6,6,0,2,155,0,0,1,18,134.64139030749817
5,6,6,0,2,155,0,0,3,18,109.3035588413252
3,6,6,0,2,155,26,4,1,22,105.39968027533756
5,6,6,0,2,155,0,0,4,21,76.56435305301898
5,6,6,0,2,155,0,0,0,23,73.41670093905591
5,6,6,0,2,155,0,0,2,20,60.739944912838524
5,6,6,0,2,155,0,0,3,20,45.22077040095498
5,6,6,0,2,155,0,0,1,16,44.81293260692861
5,6,6,0,2,155,0,0,0,3,43.5820528985497
5,6,6,0,2,155,0,0,3,23,41.9074863075394
5,6,6,0,2,155,0,0,1,17,40.539771248167725
5,6,6,0,2,155,0,0,2,17,33.280309555215624
5,6,6,0,2,155,0,0,4,16,30.40265241220828
5,6,6,0,2,155,0,0,0,22,23.776779247753318
1,6,12,0,2,155,0,0,4,21,23.69855770127633
1,6,6,0,2,155,0,0,1,18,22.786311812053547
5,6,6,0,2,155,0,0,1,22,22.521094563482748
5,6,6,0,2,155,0,0,0,17,21.51899095414813
5,6,6,0,2,155,0,0,4,18,20.96872922799031
1,6,6,0,2,155,0,0,1,21,19.63282543301665
3,6,6,0,2,155,26,4,3,18,19.031269163315965
5,6,6,0,2,155,0,0,6,23,18.96158136573259
5,6,6,0,2,155,0,0,2,16,18.326467925895734
5,6,6,0,2,155,0,0,3,22,18.058005041527355
3,6,12,0,2,155,26,4,3,17,17.80262773024993
5,6,6,0,2,155,0,0,0,15,17.410864735951098
5,6,6,0,2,155,0,0,0,18,16.9116480723756
5,6,6,0,2,155,0,0,2,15,16.830461625468107
5,6,6,0,2,155,0,0,2,22,16.230407198908924
5,6,6,0,2,155,0,0,1,19,16.0462690688709
5,6,6,0,2,155,0,0,3,19,15.778488132524739
5,6,6,0,2,155,0,0,2,23,15.486690221361947
5,6,6,0,2,155,0,0,3,16,15.025881502501514
5,6,6,0,2,155,0,0,2,5,14.208585970310784
5,6,6,0,2,155,0,0,4,20,14.075995368623628
5,6,6,0,2,155,0,0,0,19,13.612281729652215
5,6,6,0,2,155,0,0,1,20,13.435773679442722
1,6,6,0,2,155,0,0,3,21,13.251554324697835
5,6,6,0,2,155,0,0,2,13,13.115124163518885
5,6,3,0,2,155,0,0,4,19,12.92199446211577
5,6,6,0,2,155,0,0,4,17,12.218680638827445
3,6,6,0,2,155,26,4,4,21,11.57189862456852
5,6,6,0,2,155,0,0,2,19,11.167804385496629
5,6,6,0,2,155,0,0,1,1,11.018370054545866
3,6,12,0,2,155,26,4,1,21,10.960450492897891
3,6,6,0,2,155,26,4,0,21,10.822212877517625
5,6,5,0,2,155,0,0,0,22,10.649796564114773
5,6,5,0,2,155,0,0,1,18,10.396281436395293
5,6,6,0,2,155,0,0,0,6,10.269169764488186
5,6,6,0,2,155,0,0,3,17,10.177822227123185
3,6,12,0,2,155,26,4,0,23,9.97814160197788
5,6,6,0,2,155,0,0,2,6,9.974971274418461
3,6,12,0,2,155,26,4,1,20,9.933374795856441
5,6,6,0,2,155,0,0,0,13,9.868537454271209
5,6,5,0,2,155,0,0,1,20,9.499314588615546
3,6,12,0,2,155,26,4,3,16,9.364572810352561
5,6,12,0,2,155,0,0,2,23,9.240095729975227
5,6,6,0,2,155,0,0,0,16,9.159243865246342
5,6,6,0,2,155,0,0,5,1,8.948027563341451
5,6,6,0,2,155,0,0,3,14,8.884785600683635
5,6,6,0,2,155,0,0,3,2,8.31925455494707
5,6,6,0,2,155,0,0,3,15,8.181096882238027
5,6,6,0,2,155,0,0,2,21,8.026382903391948
5,6,3,0,2,155,0,0,0,18,7.946194709274735
3,6,6,0,2,155,26,4,3,16,7.878313426855175
3,6,6,0,2,155,26,4,1,19,7.7552139132766555
3,6,12,0,2,155,26,4,2,19,7.563600934521498
3,6,6,0,2,155,26,4,0,23,7.442293932351164
5,6,6,0,2,155,0,0,6,20,7.3175062377774704
3,6,6,0,2,155,26,4,1,0,7.274939112987166
1,6,6,0,2,155,0,0,2,20,7.232349516067476
5,6,6,0,2,155,0,0,2,1,7.225564256445082
5,6,6,0,2,155,0,0,3,0,7.222790070403104
1,6,6,0,2,155,0,0,3,16,6.942080778349162
1,6,3,0,2,155,0,0,1,22,6.9378601979465255
5,6,3,0,2,155,0,0,3,21,6.75639851520618
3,6,6,0,2,155,26,4,2,19,6.74646268247543
5,6,3,0,2,155,0,0,1,16,6.7138373222324725
5,6,5,0,2,155,0,0,3,20,6.632558677868866
3,6,6,0,2,155,26,4,0,22,6.59511658927268
5,6,6,0,2,155,0,0,1,2,6.526923810392402
5,6,5,0,2,155,0,0,1,23,6.386635732011422
5,6,6,0,2,155,0,0,6,4,6.377742851837594
3,6,6,0,2,155,26,4,5,17,6.342315766759082
3,6,12,0,2,155,26,4,3,20,6.326145074729485
5,6,5,0,2,155,0,0,4,20,6.256266977861225
5,6,6,0,2,155,0,0,6,1,6.217309086178595
5,6,5,0,2,155,0,0,3,21,6.129297016997818
5,6,6,0,2,155,0,0,5,0,6.025021539569232
3,6,6,0,2,155,26,4,1,23,6.009540870886009
1,6,6,0,2,155,0,0,4,15,5.959082974055716
3,6,6,0,2,155,26,4,2,20,5.940770983886801
5,6,3,0,2,155,0,0,3,20,5.848254190356947
3,6,6,0,2,155,26,4,2,14,5.813419581493868
3,6,1,1,2,155,26,4,6,3,5.72638226475657
3,6,12,0,2,155,26,4,2,3,5.698493233598278
3,6,6,0,2,155,26,4,6,13,5.6929490892210435
1,6,12,0,2,155,0,0,1,4,5.54797052893629
5,6,6,0,2,155,0,0,2,2,5.5401114704812935
3,6,6,0,2,155,26,4,4,20,5.530636012439864
5,6,3,0,2,155,0,0,0,16,5.406954414989177
5,6,3,0,2,155,0,0,3,13,5.405284768296815
3,6,12,0,2,155,26,4,1,19,5.364958532959729
5,6,5,0,2,155,0,0,1,16,5.241378944893549
5,6,3,0,2,155,0,0,2,1,5.149510116873797
5,6,6,0,2,155,0,0,2,3,5.098220726358437
3,6,6,0,2,155,26,4,3,17,5.0870143937813435
5,6,6,0,2,155,0,0,3,13,5.072707083850552
5,6,6,0,2,155,0,0,3,5,5.023088915818765
5,6,3,0,2,155,0,0,3,16,5.00965712937535
5,6,6,0,2,155,0,0,0,4,4.912403680329569
5,6,12,0,2,155,0,0,3,0,4.903230999110132
3,6,6,0,2,155,26,4,1,3,4.882977322786939
5,6,5,0,2,155,0,0,2,17,4.8524279173015685
1,6,12,0,2,155,0,0,3,0,4.740458008975475
3,6,6,0,2,155,26,4,2,17,4.739714497497074
1,6,1,1,2,155,0,0,1,0,4.725170813657983
3,6,12,0,2,155,26,4,4,19,4.6963838632625
1,6,6,0,2,155,0,0,3,17,4.669003422333407
1,6,6,0,2,155,0,0,0,21,4.663661883867029
5,6,6,0,2,155,0,0,1,21,4.639022309455855
3,6,12,0,2,155,26,4,6,0,4.569654804013911
3,6,12,0,2,155,26,4,6,20,4.493412548576347
3,6,6,0,2,155,26,4,2,23,4.431788126975068
5,6,5,0,2,155,0,0,3,18,4.423267704036918
3,6,6,0,2,155,26,4,1,2,4.396960985912932
3,20,15,1,2,155,26,4,3,22,4.370669361060661
1,6,6,0,2,155,0,0,1,14,4.362305529400407
3,6,3,0,2,155,26,4,4,23,4.352083763344969
3,6,6,0,2,155,26,4,1,20,4.226018365891612
3,6,12,0,2,155,26,4,2,17,4.18368646170514
3,6,6,0,2,155,26,4,3,13,4.180203263098882
3,6,1,1,2,155,26,4,2,20,4.161473795331448
5,6,3,0,2,155,0,0,0,22,4.140221459339162
5,6,6,0,2,155,0,0,2,4,4.087551074110893
3,6,12,0,2,155,26,4,4,20,4.07548400940183
5,6,6,0,2,155,0,0,4,0,4.0547834794938105
5,6,6,0,2,155,0,0,5,15,4.042536155297428
3,6,1,1,2,155,26,4,4,4,4.030674615209165
5,6,5,0,2,155,0,0,2,21,3.9961240779472442
3,6,1,1,2,155,26,4,0,1,3.9771405812659695
3,6,6,0,2,155,26,4,1,21,3.9662161123416246
5,6,5,0,2,155,0,0,0,14,3.9595704755193135
5,6,5,0,2,155,0,0,2,20,3.958015942324333
3,6,12,0,2,155,26,4,1,0,3.871546956727173
5,6,3,0,2,155,0,0,2,0,3.8561808885853566
3,6,1,1,2,155,26,4,4,2,3.853573683052415
5,6,5,0,2,155,0,0,0,3,3.8132662578017555
1,6,6,0,2,155,0,0,4,21,3.797562726376097
1,6,6,0,2,26,0,0,2,2,3.77042755818078
5,6,5,0,2,155,0,0,3,16,3.7585045019332535
3,6,12,0,2,155,26,4,6,3,3.6862351356298952
3,6,6,0,2,155,26,4,1,18,3.6562418742032343
3,6,6,0,2,155,26,4,0,13,3.6425077568557604
3,6,12,0,2,155,26,4,6,4,3.6196495832999345
5,6,6,0,2,155,0,0,4,13,3.599648275789793
5,6,6,0,2,155,0,0,0,5,3.569895069408769
3,6,12,0,2,155,26,4,5,16,3.532084528100371
5,6,12,0,2,155,0,0,1,23,3.5036929090353466
5,6,6,0,2,155,0,0,4,1,3.4469310165215687
5,6,6,0,2,155,0,0,0,21,3.4438391348975923
5,6,6,0,2,155,0,0,4,3,3.425343547479554
5,6,5,0,2,155,0,0,0,19,3.4023166103552165
3,6,6,0,2,155,26,4,2,22,3.360174358151498
3,6,12,0,2,155,26,4,0,4,3.3362640145757188
5,6,5,0,2,155,0,0,1,17,3.309873781625204
5,6,6,0,2,155,0,0,1,3,3.2924575879417803
1,6,12,0,2,155,0,0,3,22,3.275274629965848
3,6,6,0,2,155,26,4,1,17,3.2668945650235397
3,6,12,0,2,155,26,4,4,21,3.2652271102610984
5,6,6,0,2,155,0,0,3,12,3.2639856414581105
3,6,3,0,2,155,26,4,3,23,3.263600023795924
5,6,6,0,2,155,0,0,2,18,3.2437798846951735
5,6,5,0,2,155,0,0,0,18,3.219284394006788
5,6,6,0,2,155,0,0,4,14,3.2047968469886805
3,6,12,0,2,155,26,4,4,16,3.114592618300329
3,6,12,0,2,155,26,4,3,21,3.108109132210047
5,6,3,0,2,155,0,0,1,17,3.1008379752310766
5,6,6,0,2,155,0,0,6,21,3.0986744507981108
3,6,12,0,2,155,26,4,0,20,3.0900576224128917
3,6,1,1,2,155,26,4,3,2,3.0757760583056526
5,6,12,0,2,155,0,0,1,17,3.0705384088197687
3,6,1,1,2,155,26,4,3,23,3.0664662670465357
3,6,12,0,2,155,26,4,2,22,3.0638838129463015
5,6,6,0,2,155,0,0,6,16,3.0426711850299997
5,6,3,0,2,155,0,0,4,20,3.0050661660603204
3,6,6,0,2,155,26,4,4,16,2.9837841281321262
3,6,1,1,2,155,26,4,5,1,2.9787232958762817
1,20,15,1,2,155,0,0,6,21,2.975558403479953
5,6,6,0,2,155,0,0,1,23,2.968104966827431
1,6,12,0,2,155,0,0,3,15,2.946784331067156
3,6,3,0,2,155,26,4,3,2,2.9109272321253536
1,6,12,0,2,155,0,0,1,14,2.887703462679031
5,6,6,0,2,155,0,0,6,2,2.8846123310478564
3,6,3,0,2,155,26,4,6,1,2.877663042391245
3,6,12,0,2,155,26,4,4,2,2.8647053309040302
